TYPE,TRACE,A,B,C

DATE & TIME,07Nov2008 12:35AM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C
START,1425.000,1425.000,1425.000
STOP,1675.000,1675.000,1675.000
HORIZONTAL SCALE,nm,nm,nm
LENGTH (pts),1001,1001,1001
RBW (nm),0.20,0.20,0.20
VBW (Hz),194,194,194

REFERENCE LEVEL (dBm),-30.32,-30.32,-30.32
VERTICAL SCALE,dBm,dBm,dBm
SENSITIVITY (dBm),-79.87,-79.87,-79.87

AVERAGING,OFF,OFF,OFF
MIN,OFF,OFF,OFF
MAX,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1550.000
258,-54.851,-42.701,-54.299
259,-55.064,-42.518,-54.258
260,-55.003,-42.371,-53.690
261,-54.420,-42.537,-54.154
262,-53.480,-42.753,-54.155
263,-52.793,-42.487,-53.829
264,-53.338,-42.457,-53.779
265,-54.715,-42.767,-54.118
266,-55.170,-42.614,-53.784
267,-54.758,-42.371,-53.526
268,-54.281,-42.471,-53.943
269,-53.918,-42.690,-54.769
270,-53.273,-42.569,-54.161
271,-53.086,-42.453,-53.837
272,-54.372,-42.613,-54.189
273,-55.226,-42.756,-54.472
274,-55.129,-42.540,-54.108
275,-54.900,-42.470,-54.122
276,-53.908,-42.673,-54.498
277,-53.047,-42.536,-54.040
278,-52.930,-42.319,-53.532
279,-54.077,-42.501,-53.633
280,-55.504,-42.766,-54.001
281,-54.923,-42.557,-53.529
282,-54.258,-42.505,-53.601
283,-53.892,-42.505,-54.229
284,-53.686,-42.759,-54.735
285,-53.293,-42.465,-54.186
286,-53.987,-42.449,-53.982
287,-55.410,-42.949,-54.325
288,-54.859,-42.626,-54.139
289,-54.515,-42.510,-53.881
290,-53.739,-42.576,-53.882
291,-53.670,-42.712,-54.296
292,-53.086,-42.599,-53.896
293,-53.376,-42.496,-53.777
294,-55.379,-42.570,-54.008
295,-55.739,-42.893,-54.318
296,-55.142,-42.393,-53.690
297,-53.814,-42.478,-53.855
298,-53.488,-42.839,-54.272
299,-53.519,-42.566,-54.681
300,-53.784,-42.500,-54.325
301,-55.577,-42.527,-54.456
302,-55.837,-42.758,-54.648
303,-55.369,-42.623,-54.266
304,-53.834,-42.494,-54.146
305,-53.626,-42.605,-54.381
306,-53.821,-42.990,-54.388
307,-53.788,-42.597,-53.816
308,-54.897,-42.526,-53.979
309,-55.402,-42.994,-54.632
310,-55.525,-42.753,-54.761
311,-54.367,-42.549,-54.447
312,-53.588,-42.669,-54.489
313,-54.028,-42.808,-54.872
314,-54.199,-42.664,-54.759
315,-55.306,-42.673,-54.061
316,-55.902,-42.517,-54.585
317,-55.729,-43.023,-54.412
318,-53.985,-42.535,-53.990
319,-53.292,-42.398,-54.066
320,-53.879,-42.876,-54.699
321,-54.674,-42.712,-54.480
322,-55.431,-42.546,-53.797
323,-55.304,-42.670,-53.820
324,-55.459,-42.801,-54.750
325,-54.165,-42.696,-54.694
326,-53.308,-42.594,-54.463
327,-53.970,-42.588,-54.914
328,-54.816,-43.047,-54.879
329,-55.754,-42.619,-54.288
330,-55.155,-42.501,-53.942
331,-55.605,-42.756,-54.542
332,-54.487,-42.848,-54.827
333,-53.422,-42.523,-54.296
334,-53.227,-42.614,-53.962
335,-54.711,-42.750,-54.582
336,-55.973,-42.690,-54.684
337,-55.501,-42.569,-54.245
338,-55.152,-42.544,-54.202
339,-54.425,-42.906,-54.754
340,-53.716,-42.697,-54.841
341,-53.708,-42.491,-54.523
342,-55.337,-42.663,-54.884
343,-56.489,-42.925,-55.075
344,-55.677,-42.628,-54.477
345,-54.716,-42.616,-54.127
346,-54.136,-42.797,-54.324
347,-54.035,-42.840,-54.491
348,-53.996,-42.640,-53.963
349,-54.913,-42.502,-54.035
350,-55.923,-42.926,-54.607
351,-55.621,-42.836,-54.496
352,-54.661,-42.423,-54.582
353,-54.138,-42.625,-54.778
354,-54.507,-42.892,-55.256
355,-54.558,-42.582,-54.642
356,-55.552,-42.617,-54.301
357,-55.741,-42.704,-54.698
358,-56.065,-42.907,-54.952
359,-54.219,-42.721,-54.519
360,-53.515,-42.453,-54.314
361,-53.989,-42.903,-55.112
362,-55.212,-42.920,-55.068
363,-55.976,-42.502,-54.282
364,-55.708,-42.582,-53.998
365,-55.532,-42.871,-54.410
366,-54.420,-42.679,-54.810
367,-53.501,-42.626,-54.599
368,-54.302,-42.540,-55.098
369,-56.216,-42.740,-55.643
370,-56.501,-42.622,-54.784
371,-55.623,-42.465,-54.527
372,-54.753,-42.600,-54.838
373,-54.412,-42.840,-55.258
374,-53.621,-42.604,-54.836
375,-54.114,-42.395,-54.142
376,-55.511,-42.812,-54.360
377,-55.687,-42.823,-54.534
378,-55.474,-42.607,-54.608
379,-54.453,-42.544,-54.465
380,-54.591,-42.786,-55.328
381,-54.667,-42.729,-55.185
382,-54.845,-42.721,-54.685
383,-56.243,-42.489,-54.862
384,-56.539,-42.888,-55.538
385,-55.549,-42.708,-55.123
386,-54.152,-42.443,-54.665
387,-53.721,-42.679,-54.598
388,-54.642,-42.929,-54.885
389,-55.484,-42.532,-54.559
390,-55.129,-42.543,-54.030
391,-55.563,-42.672,-54.569
392,-54.540,-42.853,-55.039
393,-53.618,-42.681,-54.401
394,-53.645,-42.473,-54.758
395,-55.253,-42.748,-55.170
396,-56.470,-42.899,-55.070
397,-56.028,-42.630,-54.794
398,-54.714,-42.516,-54.846
399,-54.711,-42.886,-54.903
400,-54.451,-42.742,-55.290
401,-54.457,-42.578,-54.481
402,-55.548,-42.674,-54.548
403,-56.011,-42.895,-54.832
404,-55.473,-42.750,-54.925
405,-54.412,-42.596,-54.479
406,-54.018,-42.619,-54.711
407,-54.933,-42.955,-55.001
408,-55.430,-42.733,-54.746
409,-55.841,-42.441,-54.550
410,-55.555,-42.730,-55.264
411,-55.721,-42.973,-55.467
412,-54.748,-42.686,-55.522
413,-54.116,-42.440,-54.902
414,-55.376,-42.857,-55.495
415,-56.547,-42.869,-55.399
416,-56.131,-42.818,-54.814
417,-55.515,-42.615,-54.424
418,-55.312,-42.907,-55.133
419,-54.498,-42.950,-54.744
420,-54.659,-42.728,-54.862
421,-55.715,-42.560,-55.037
422,-56.649,-42.897,-55.588
423,-56.691,-42.818,-55.615
424,-54.905,-42.699,-55.303
425,-54.338,-42.663,-55.407
426,-55.370,-42.902,-56.368
427,-56.139,-42.793,-55.780
428,-56.190,-42.613,-55.314
429,-56.353,-42.730,-55.473
430,-55.597,-42.993,-55.724
431,-54.446,-42.855,-55.528
432,-54.062,-42.596,-55.459
433,-55.543,-42.933,-55.323
434,-57.052,-42.898,-55.702
435,-56.242,-42.821,-55.208
436,-55.000,-42.632,-54.914
437,-54.709,-42.979,-55.628
438,-55.091,-42.945,-56.232
439,-55.564,-42.758,-55.686
440,-56.826,-42.542,-55.316
441,-57.313,-42.933,-55.217
