TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
198,-48.304,-50.439,-49.206,-50.316
199,-48.049,-50.437,-50.902,-50.046
200,-48.516,-50.355,-51.101,-50.482
201,-48.343,-50.550,-50.583,-50.366
202,-48.294,-50.689,-48.812,-50.303
203,-48.647,-50.534,-49.085,-50.659
204,-48.418,-50.449,-49.298,-50.494
205,-48.368,-50.692,-51.123,-50.238
206,-48.877,-50.653,-51.399,-50.792
207,-48.405,-50.470,-50.702,-50.476
208,-48.549,-50.843,-49.079,-50.435
209,-48.935,-50.829,-49.231,-50.870
210,-48.494,-50.461,-49.499,-50.449
211,-48.576,-50.717,-51.221,-50.479
212,-48.984,-51.263,-51.605,-50.898
213,-48.411,-50.407,-50.710,-50.518
214,-48.746,-51.001,-49.225,-50.698
215,-49.113,-51.528,-49.491,-50.958
216,-48.565,-50.443,-49.536,-50.533
217,-48.853,-50.997,-51.692,-50.651
218,-49.134,-51.341,-51.765,-50.897
219,-48.594,-50.438,-50.587,-50.705
220,-48.841,-51.001,-49.522,-50.894
221,-49.181,-51.418,-49.432,-51.241
222,-48.566,-50.662,-49.790,-50.688
223,-49.042,-50.990,-51.715,-50.931
224,-49.111,-51.423,-51.814,-51.082
225,-48.513,-50.774,-50.491,-50.725
226,-48.960,-50.958,-49.584,-51.056
227,-49.189,-51.519,-49.647,-51.286
228,-48.680,-50.969,-50.049,-50.719
229,-49.053,-50.968,-51.710,-51.037
230,-49.292,-51.400,-52.138,-51.266
231,-48.750,-51.127,-50.351,-50.789
232,-49.198,-51.056,-49.778,-51.341
233,-49.267,-51.446,-49.641,-51.356
234,-48.791,-51.289,-50.386,-50.902
235,-49.238,-51.106,-51.922,-51.254
236,-49.249,-51.356,-52.151,-51.144
237,-48.894,-51.274,-50.136,-50.987
238,-49.346,-51.157,-49.817,-51.337
239,-49.346,-51.162,-49.687,-51.367
240,-48.875,-51.603,-50.863,-51.009
241,-49.208,-51.371,-52.032,-51.319
242,-49.255,-51.400,-52.339,-51.286
243,-48.973,-51.556,-50.067,-51.150
244,-49.369,-51.444,-50.054,-51.447
245,-49.332,-51.224,-50.002,-51.336
246,-49.061,-51.608,-51.601,-51.055
247,-49.506,-51.694,-52.149,-51.392
248,-49.471,-51.293,-51.787,-51.435
249,-49.020,-51.413,-49.916,-51.267
250,-49.552,-51.580,-50.133,-51.783
251,-49.440,-51.242,-50.341,-51.414
252,-49.145,-51.573,-52.247,-51.256
253,-49.527,-51.853,-52.338,-51.667
254,-49.393,-51.361,-51.453,-51.414
255,-49.088,-51.407,-49.819,-51.488
256,-49.666,-52.146,-50.405,-51.692
257,-49.679,-51.423,-50.624,-51.529
258,-49.400,-51.671,-52.350,-51.345
259,-49.783,-52.284,-52.898,-51.734
260,-49.586,-51.369,-50.753,-51.557
261,-49.359,-51.682,-50.054,-51.537
262,-49.814,-52.325,-50.582,-51.948
263,-49.701,-51.256,-51.037,-51.679
264,-49.358,-51.797,-52.424,-51.583
265,-49.894,-52.216,-52.870,-52.018
266,-49.602,-51.598,-50.497,-51.715
267,-49.482,-51.797,-50.144,-51.644
268,-49.918,-52.355,-50.778,-51.978
269,-49.814,-51.639,-52.178,-51.716
270,-49.569,-51.579,-52.332,-51.612
271,-50.151,-52.457,-52.533,-52.139
272,-49.726,-51.728,-50.376,-51.839
273,-49.627,-51.769,-50.239,-51.805
274,-50.113,-52.589,-51.243,-52.224
275,-49.766,-51.714,-52.695,-51.913
276,-49.789,-51.628,-52.783,-51.773
277,-50.121,-52.455,-51.639,-52.202
278,-49.842,-51.842,-50.482,-52.026
279,-49.665,-51.890,-50.569,-52.060
280,-50.193,-52.777,-51.920,-52.227
281,-49.844,-51.802,-52.419,-51.994
282,-49.750,-51.735,-53.085,-51.835
283,-50.344,-52.700,-51.223,-52.358
284,-49.904,-51.866,-50.463,-52.200
285,-49.645,-51.971,-50.819,-52.003
286,-50.340,-52.708,-52.917,-52.273
287,-49.938,-51.973,-52.520,-52.060
288,-49.816,-51.849,-52.104,-51.996
289,-50.503,-52.706,-51.202,-52.565
290,-50.164,-52.077,-50.678,-52.487
291,-49.764,-51.979,-51.477,-52.085
292,-50.493,-52.905,-53.179,-52.565
293,-50.091,-52.191,-53.368,-52.084
294,-49.895,-51.965,-51.312,-52.207
295,-50.518,-53.078,-51.184,-52.817
296,-50.103,-52.180,-51.013,-52.321
297,-49.898,-52.285,-52.860,-52.189
298,-50.565,-53.072,-52.866,-52.483
299,-50.200,-52.265,-52.582,-52.291
300,-49.964,-52.104,-51.008,-52.426
301,-50.690,-52.898,-51.176,-52.660
302,-50.237,-52.239,-51.696,-52.532
303,-50.034,-52.166,-53.100,-52.139
304,-50.656,-52.985,-53.342,-52.497
305,-50.160,-52.264,-51.492,-52.477
306,-50.148,-52.192,-50.980,-52.491
307,-50.724,-52.951,-51.452,-52.822
308,-50.371,-52.487,-53.277,-52.659
309,-50.201,-52.356,-52.757,-52.160
310,-50.707,-53.044,-52.619,-52.771
311,-50.399,-52.637,-51.481,-52.669
312,-50.235,-52.211,-50.899,-52.443
313,-50.804,-53.071,-52.086,-52.889
314,-50.550,-52.626,-53.656,-52.538
315,-50.182,-52.530,-53.368,-52.358
316,-50.734,-53.181,-51.556,-52.910
317,-50.576,-52.596,-51.407,-52.764
318,-50.322,-52.235,-51.076,-52.682
319,-50.629,-52.890,-53.320,-52.801
320,-50.726,-52.764,-53.505,-52.656
321,-50.338,-52.573,-51.935,-52.628
322,-50.643,-53.307,-51.705,-52.866
323,-50.764,-52.724,-51.630,-53.003
324,-50.410,-52.329,-52.061,-52.601
325,-50.778,-52.980,-53.547,-52.646
326,-50.848,-52.885,-53.445,-52.929
327,-50.391,-52.909,-51.290,-52.708
328,-50.665,-53.150,-51.571,-52.879
329,-50.800,-52.810,-51.916,-53.203
330,-50.430,-52.662,-53.359,-52.496
331,-50.616,-52.864,-53.696,-52.666
332,-50.947,-52.836,-51.780,-53.238
333,-50.383,-52.937,-51.275,-52.835
334,-50.612,-52.947,-51.913,-53.009
335,-50.982,-52.727,-53.413,-53.072
336,-50.350,-52.869,-53.601,-52.512
337,-50.679,-52.755,-52.284,-52.949
